Num Cores: 2 	Real Time: 0:33.11 	CPU Usage: 194%
Num Cores: 4 	Real Time: 0:16.71 	CPU Usage: 318%
Num Cores: 8 	Real Time: 0:09.10 	CPU Usage: 754%
Num Cores: 16 	Real Time: 0:04.98 	CPU Usage: 1432%
