Num Cores: 2 	Real Time: 0:33.22 	CPU Usage: 194%
Num Cores: 4 	Real Time: 0:16.69 	CPU Usage: 317%
Num Cores: 8 	Real Time: 0:09.15 	CPU Usage: 753%
Num Cores: 16 	Real Time: 0:04.98 	CPU Usage: 1431%
